Date/Time,01GROUNDFLOOR:KITCHEN:Zone Mean Air Temperature [C](Hourly),02FIRSTFLOOR:MASTER:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,15.862913432848118,15.598340884655812 
 01/01  02:00:00,15.16130491570326,14.768244136058084 
 01/01  03:00:00,17.876964404080917,17.960233364255705 
 01/01  04:00:00,18.285593665592474,18.35862360601962 
 01/01  05:00:00,18.20642011656461,18.208660264301544 
 01/01  06:00:00,18.24773823614799,18.271156607672475 
 01/01  07:00:00,18.301310578412598,18.330336083937277 
 01/01  08:00:00,18.271346497381509,18.34873212234012 
 01/01  09:00:00,18.244656975344065,18.278113512448589 
 01/01  10:00:00,18.270823340607806,18.33271075875131 
 01/01  11:00:00,16.743640346430497,16.012040418070929 
 01/01  12:00:00,16.572276745284584,16.130077300961689 
 01/01  13:00:00,16.513896347809138,16.20054967974236 
 01/01  14:00:00,16.52218492411705,16.118408165410707 
 01/01  15:00:00,16.420710862206783,15.642486718490357 
 01/01  16:00:00,16.116054021309759,15.124573974770004 
 01/01  17:00:00,18.11410916290482,18.049724638817517 
 01/01  18:00:00,18.257107361717446,18.304354414286047 
 01/01  19:00:00,18.25031998250691,18.297020878997345 
 01/01  20:00:00,18.22183184674215,18.25224381224615 
 01/01  21:00:00,18.259236784540766,18.312833487359229 
 01/01  22:00:00,18.23963814777059,18.304497159012578 
 01/01  23:00:00,18.24378187636069,18.29890898555766 
 01/01  24:00:00,18.24028085907343,18.254827438371195 
 01/02  01:00:00,16.00938178832797,15.722125722694518 
 01/02  02:00:00,15.546941244301542,15.121386740286003 
 01/02  03:00:00,18.027739215803935,18.044233142677834 
 01/02  04:00:00,18.27277585128936,18.33691356749462 
 01/02  05:00:00,18.2727083435703,18.316891016741729 
 01/02  06:00:00,18.26373759743849,18.301330877573446 
 01/02  07:00:00,18.258627591733068,18.305655367869048 
 01/02  08:00:00,18.259926384228238,18.33517148494135 
 01/02  09:00:00,18.23309902163232,18.262171988375568 
 01/02  10:00:00,18.260373737246533,18.304227939967079 
 01/02  11:00:00,16.866425560512206,15.94976006475654 
 01/02  12:00:00,16.56242184348183,15.40257933267195 
 01/02  13:00:00,16.582676179274239,15.555652425636876 
 01/02  14:00:00,16.568249903855038,15.723747040652686 
 01/02  15:00:00,16.443760325864749,15.535011592433105 
 01/02  16:00:00,16.224357491361553,15.112490664826553 
 01/02  17:00:00,18.12723908894013,18.059651307711499 
 01/02  18:00:00,18.247864228395725,18.30942950679478 
 01/02  19:00:00,18.24954225271605,18.306594789258797 
 01/02  20:00:00,18.22580497909009,18.25114828664777 
 01/02  21:00:00,18.255982441192857,18.312633803667567 
 01/02  22:00:00,18.247161365236523,18.301062610487919 
 01/02  23:00:00,18.24312195160166,18.314437073150257 
 01/02  24:00:00,18.23932077384467,18.252660757135275 
 01/03  01:00:00,15.950767902844828,15.63122938880004 
 01/03  02:00:00,15.475441822324563,15.001512481956134 
 01/03  03:00:00,18.017275623858745,18.024829441589149 
 01/03  04:00:00,18.2885092237745,18.339180672683765 
 01/03  05:00:00,18.283632651730295,18.32611231301186 
 01/03  06:00:00,18.278190834625904,18.3370394192509 
