Date/Time,01GROUNDFLOOR:KITCHEN:Zone Mean Air Temperature [C](Hourly),02FIRSTFLOOR:MASTER:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,17.707514263479934,17.430528734984767 
 01/01  02:00:00,16.930743793585273,16.56969888376411 
 01/01  03:00:00,19.6113402653967,19.72415893519417 
 01/01  04:00:00,20.093500795173619,20.14459975055299 
 01/01  05:00:00,19.99988727949131,19.999685994321326 
 01/01  06:00:00,20.045198464812346,20.071605779884338 
 01/01  07:00:00,20.08226824640206,20.129973267508985 
 01/01  08:00:00,20.07682101103069,20.11856627391242 
 01/01  09:00:00,20.03443149242485,20.05350993312368 
 01/01  10:00:00,20.0540917135205,20.10383433111427 
 01/01  11:00:00,18.42486892747187,17.90247769567906 
 01/01  12:00:00,18.089324704278498,18.003039033856515 
 01/01  13:00:00,18.0227083614078,18.058983982820956 
 01/01  14:00:00,18.015378812220797,17.974246298079274 
 01/01  15:00:00,17.91573066443703,17.4697176560389 
 01/01  16:00:00,17.645115610370046,16.945659590199726 
 01/01  17:00:00,19.863128067498076,19.838629995618839 
 01/01  18:00:00,20.05525007204497,20.106740278836335 
 01/01  19:00:00,20.041028161793539,20.09542601371543 
 01/01  20:00:00,20.02154861911356,20.040435920341314 
 01/01  21:00:00,20.057875427437268,20.099494536342939 
 01/01  22:00:00,20.054616456655724,20.105403793767427 
 01/01  23:00:00,20.057687403998608,20.09401965044895 
 01/01  24:00:00,20.02581579884601,20.058904374089776 
 01/02  01:00:00,17.81439137393732,17.519327580326029 
 01/02  02:00:00,17.243830326841207,16.852841753451885 
 01/02  03:00:00,19.778918947355778,19.810073422259323 
 01/02  04:00:00,20.085755744205966,20.130128284224719 
 01/02  05:00:00,20.08895560564226,20.12183996384927 
 01/02  06:00:00,20.054127769349038,20.093884249006228 
 01/02  07:00:00,20.065614375347374,20.108203510156288 
 01/02  08:00:00,20.064838053185996,20.105904593263266 
 01/02  09:00:00,20.027774727423027,20.043001597651469 
 01/02  10:00:00,20.05153244401106,20.09737419834933 
