File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/baseline/instance-out.sql,81.95,115.90,19595.18,27713.90
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/1/1-out.sql,85.39,119.61,20417.82,28602.29
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/2/2-out.sql,96.53,131.70,23081.42,31492.70
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/3/3-out.sql,100.00,135.48,23912.84,32396.33
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/4/4-out.sql,88.37,122.88,21130.55,29382.61
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/5/5-out.sql,63.05,95.36,15076.56,22801.84
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/6/6-out.sql,117.31,154.27,28050.38,36889.39
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/7/7-out.sql,101.88,137.57,24362.80,32895.05
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/8/8-out.sql,104.49,140.36,24985.37,33562.76
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/9/9-out.sql,95.93,131.07,22938.54,31340.56
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/10/10-out.sql,82.25,116.24,19668.13,27794.74
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/11/11-out.sql,70.28,103.22,16805.29,24682.04
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/12/12-out.sql,82.92,116.96,19827.09,27966.54
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/13/13-out.sql,70.13,103.06,16768.34,24643.48
/Users/aaron-boranian/Work/projects/support/newcastle/bayesian-residence/modelkit/runs/14/14-out.sql,79.62,113.37,19038.29,27108.92
